=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.07.23 10:41:15 =~=~=~=~=~=~=~=~=~=~=~=
3.31
11.13
16.19
3.62
4.60
7.51
4.60
4.60
4.92
12.14
12.83
12.16
7.51
9.18
798.62
59.49
798.74
798.80
16.21
16.19
17.48
16.21
16.21
15.88
798.57
49.49
48.98
9.07
9.18
9.18
9.07
9.18
798.73
16.21
16.21
798.85
798.86
19.07
11.47
9.18
9.09
9.07
9.52
9.42
16.21
16.21
17.48
16.21
16.21
18.76
15.88
123.22
16.84
16.84
20.89
16.84
